source,target,relationship
GPT-4,OpenAI,created_by
GPT-3,OpenAI,created_by
GPT-2,OpenAI,created_by
Codex,OpenAI,created_by
DALL-E 3,OpenAI,created_by
Whisper,OpenAI,created_by
CLIP,OpenAI,created_by
GPT-4o,OpenAI,created_by
o1,OpenAI,created_by
o3,OpenAI,created_by
Claude 3,Anthropic,created_by
Claude 2,Anthropic,created_by
Claude 3.5 Sonnet,Anthropic,created_by
Claude 3.5 Haiku,Anthropic,created_by
Gemini,Google DeepMind,created_by
Gemini Ultra,Google DeepMind,created_by
Gemini 1.5 Pro,Google DeepMind,created_by
Gemini 2.0 Flash,Google DeepMind,created_by
PaLM,Google DeepMind,created_by
AlphaFold,Google DeepMind,created_by
BERT,Google DeepMind,created_by
T5,Google DeepMind,created_by
LLaMA 2,Meta AI,created_by
Llama 3,Meta AI,created_by
Llama 3.1,Meta AI,created_by
Mistral,Mistral AI,created_by
Mixtral,Mistral AI,created_by
Mistral Large,Mistral AI,created_by
Falcon,Technology Innovation Institute,created_by
Phi-2,Microsoft,created_by
Phi-3,Microsoft,created_by
Phi-4,Microsoft,created_by
Grok,xAI,created_by
Grok 2,xAI,created_by
Command R,Cohere,created_by
Command R+,Cohere,created_by
Stable Diffusion,Stability AI,created_by
DeepSeek V2,DeepSeek,created_by
DeepSeek R1,DeepSeek,created_by
Qwen,Alibaba,created_by
AlexNet,Deep Learning,pioneered
ResNet,Microsoft,created_by
GPT-4,Transformer,based_on
GPT-3,Transformer,based_on
GPT-2,Transformer,based_on
GPT,Transformer,based_on
GPT-4o,Transformer,based_on
o1,Transformer,based_on
Claude 3,Transformer,based_on
Claude 2,Transformer,based_on
Claude 3.5 Sonnet,Transformer,based_on
Gemini,Transformer,based_on
Gemini Ultra,Transformer,based_on
Gemini 1.5 Pro,Transformer,based_on
LLaMA 2,Transformer,based_on
Llama 3,Transformer,based_on
Llama 3.1,Transformer,based_on
Mistral,Transformer,based_on
Mixtral,Transformer,based_on
BERT,Transformer,based_on
T5,Transformer,based_on
PaLM,Transformer,based_on
Falcon,Transformer,based_on
Grok,Transformer,based_on
Command R,Transformer,based_on
Phi-2,Transformer,based_on
Phi-3,Transformer,based_on
DeepSeek V2,Transformer,based_on
DeepSeek R1,Transformer,based_on
Qwen,Transformer,based_on
Mixtral,MoE,uses
Gemini Ultra,MoE,uses
DeepSeek V2,MoE,uses
GPT-4,GPT-3,successor_of
GPT-3,GPT-2,successor_of
GPT-2,GPT,successor_of
GPT-4o,GPT-4,successor_of
Claude 3,Claude 2,successor_of
Claude 3.5 Sonnet,Claude 3,successor_of
Llama 3,LLaMA 2,successor_of
Llama 3.1,Llama 3,successor_of
